"Selected items1"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"	"2014-15"	"2015-16"
"Motor vehicle expenses - cents per kilometre method"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	354060	366694	367858
"Motor vehicle expenses - cents per kilometre method"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	931379122	969761288	877339270
"Motor vehicle expenses - one-third of actual expenses method"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14535	13594	1
"Motor vehicle expenses - one-third of actual expenses method"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49830566	46412463	1852
"Motor vehicle expenses - logbook method"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268776	272213	281004
"Motor vehicle expenses - logbook method"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1906454123	1895228836	1876217001
"Motor vehicle expenses - 12% of original value method"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9396	8962	NA
"Motor vehicle expenses - 12% of original value method"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48966583	46854388	NA
"Motor vehicle expenses - motorcycle, taxi, hire car, vehicale over 1 tonne, carry 9 or more passengers"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123232	123279	119395
"Motor vehicle expenses - motorcycle, taxi, hire car, vehicale over 1 tonne, carry 9 or more passengers"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1141614086	1099422050	1025081188
"Motor vehicle expenses - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2785	2353	1581
"Motor vehicle expenses - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15278312	12546362	8806944
"Total motor vehicle expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	388130	437340	483880	533255	559140	571335	605315	595915	619850	637735	671745	608700	635500	662280	686355	701760	714900	729910	745835	"734380"	756880	765865	765314	758405	772784	787095	769839
"Total motor vehicle expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.507e+09	1.565e+09	1.636e+09	1.763e+09	1.842e+09	1.954e+09	2170103222	2180086045	2295257158	2410215305	2716303702	2567632305	2687433793	2877131444	3038319948	3202318639	3453871140	3600263246	3856821274	"3779967729"	3858826665	5401944249	4054026602	3981570232	4093522793	4070225389	3787446255
"Repairs and maintenance expenses"	"no."	NA	358455	NA	NA	NA	624235	NA	NA	NA	NA	NA	207370	227495	247565	267280	278360	282765	302095	297080	304375	303600	306950	289995	294225	298295	300335	298090	294055	291330	289535	"279405"	279110	277110	270891	267424	270179	271020	261015
"Repairs and maintenance expenses"	"$"	NA	299202000	NA	NA	NA	571373000	NA	NA	NA	NA	NA	4.04e+08	4.11e+08	4.22e+08	4.77e+08	5.13e+08	5.23e+08	582390298	581949004	611967853	624960419	673796136	647592983	723934563	719006267	743678089	759456552	767633547	794646512	837850346	"824894718"	819776631	884971593	880474119	871549127	879573234	923727833	905634151
"All other expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	616270	684245	722040	740845	791975	789440	817985	848390	894825	824760	855110	895110	933995	965700	996925	1029480	1055075	"1037335"	1064270	1077625	1080031	1076293	1097563	1120819	1099616
"All other expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.298e+09	9.186e+09	1.0118e+10	1.1023e+10	12743418837	13402233413	14359089508	14898230244	16803996063	16849458338	18439155809	20298139198	21846437163	23352162769	24593447060	26155271186	27832879569	"27014963228"	27242165958	27795167510	28310942860	28948007003	29974246305	30751506313	30166608641
"Total business expenses primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131935	126050	"114910"	108400	102520	98418	95223	89014	86038	81394
"Total business expenses primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5890667179	6048858448	"5705928078"	5305634617	5333913109	5388940081	5446051831	5609240126	5753759250	5780215748
"Total business expenses non-primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	968265	1003330	"995550"	1033665	1052145	1058873	1061334	1085483	1111307	1091154
"Total business expenses non-primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73938715700	84880056155	"77841987383"	83188700533	77681699661	77381688456	70436811757	71833812960	71786241151	70944410683
"Total business expenses2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1082165	1111750	"1093875"	1126350	1139490	1142505	1143173	1162055	1185241	1161538
"Total business expenses2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79829382879	90928914603	"83547915461"	88494335150	82967160647	82724764111	75875288088	77579772114	77457923381	76725955015
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Business income and expenses: Reconciliation items"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Section 40-880 deduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	280	385	440	515	660	720	700	"850"	1045	1060	1046	1401	1110	1130	1213
"Section 40-880 deduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655790	1225500	1307750	1505334	1784646	1947189	1492393	"2649000"	4438831	2341895	2382792	3881918	3838131	3934753	5640870
"Business deduction for project pool"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190	170	160	175	170	180	150	"260"	245	160	172	227	167	203	300
"Business deduction for project pool"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305854	687950	742565	388450	462138	841646	593088	"1486325"	1427138	560534	725838	1073239	558981	753773	2714605
"Landcare operations and business deduction for decline in value of water facility, fencing asset and fodder storage asset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4175	1645	1780	1635	1445	1400	3385	3525	3300	2770	2470	2330	2190	2150	2080	2220	2085	"2110"	1990	1760	1624	1420	1473	1537	1695
"Landcare operations and business deduction for decline in value of water facility, fencing asset and fodder storage asset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1e+07	5e+06	4e+06	5e+06	5058620	4816823	15271371	13852914	13561990	11915571	9891341	9894480	10544878	10221032	10446133	12012326	11971852	"11305181"	10437309	9037544	6777175	6064176	6784249	8861232	17255750
"Income reconciliation adjustments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8730	8045	10405	13535	15845	17440	18330	19590	20045	"21965"	27095	25250	24238	22010	20873	18120	15585
"Income reconciliation adjustments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-38075893	-50447570	-121354463	-72742630	-66736975	-50349039	-28244693	-49486410	13542012	"-1097765055"	-2495024916	-1495240278	-7958152692	-4736888029	-125174834	-92969575	28438275
"Expense reconciliation adjustments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18930	19485	33360	38665	41155	44015	41985	41600	38830	"40115"	40705	39895	40083	40515	41258	41910	39759
"Expense reconciliation adjustments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20945728	24778347	18455677	4982225	-19246531	-59870059	-811393	15063815	-190689654	"-13002556"	-7243642	11632102	39158122	-13704244	11177386	-11582769	8395711
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net income or loss from business"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net income or loss from business this year – primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	135090	129660	"117365"	112305	105920	101854	102698	97681	93249	90250
"Net income or loss from business this year – primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1668528524	-1137746504	"-1186844264"	-839584121	-368692401	-496996660	-580418411	-428792782	-59421540	72474741
"Net income or loss from business this year – non-primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	996450	1038400	"1031580"	1074050	1098845	1106784	1118200	1148122	1174277	1154777
"Net income or loss from business this year – non-primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28415620696	22319773783	"22413967954"	24780308152	27598478721	28535094022	29084935491	31104944198	31740038891	34446123857
"Total net income or loss from business this year2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1110915	1147915	"1129900"	1168085	1186345	1190866	1204625	1230307	1252683	1231499
"Total net income or loss from business this year2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26747092172	21182027279	"21227123690"	23940724031	27212259637	28041774259	28493551186	35997433851	31680289821	34516699033
"Deferred non-commercial business losses from a prior year – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6245	6640	"6635"	7110	7850	8191	8445	8479	8387	7907
"Deferred non-commercial business losses from a prior year – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127136072	145503426	"143569925"	168621977	244929525	307574236	368235699	426514043	448895550	437732677
"Deferred non-commercial business losses from a prior year – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47590	48675	"48655"	55985	59300	61100	62900	68927	72621	75245
"Deferred non-commercial business losses from a prior year – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	447798733	488182311	"534766499"	662955868	772637313	869433896	991238833	1077070011	1097158148	1133800157
"Total deferred non-commercial business losses from a prior year2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53575	55025	"55010"	62790	66565	68691	70857	76849	80414	82652
"Total deferred non-commercial business losses from a prior year2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	574934805	633685737	"678336424"	831577845	1014600599	1170364108	1340141316	1481865442	1543876242	1567760494
"Net income or loss from business – primary production"	"no."	85290	113870	115110	113475	111945	109430	108010	113205	110695	117360	119985	123640	118790	120820	122340	124185	119280	122815	123845	125890	125525	124095	116620	115810	117515	121910	128745	134565	136180	130795	"118520"	113715	107220	103226	103651	98732	94507	91432
"Net income or loss from business – primary production"	"$"	280103000	322659000	175012000	87331000	-104784000	71145000	-57029000	-111516000	6121000	1.36e+08	1.21e+08	1.4e+07	-3.45e+08	-3.84e+08	-2.49e+08	-1.48e+08	-2.91e+08	-373322978	-576465647	-692599591	-708163569	-729597416	-302259062	-146136835	-672755368	-837704283	-1172118477	-1498630806	-1802602773	-1565582638	"-1346851845"	-1010094119	-617808778	-806645681	-951002405	-850626452	-509421383	-365006228
"Net income or loss from business – non-primary production"	"no."	209180	287835	303930	317605	324765	374560	396920	422695	437395	495100	549390	577540	584200	632020	686290	725120	747820	796115	789045	815455	844660	898215	790130	821855	862790	903140	933550	965445	1005240	1047165	"1041140"	1084140	1109445	1118112	1127819	1158839	1184663	1165174
"Net income or loss from business – non-primary production"	"$"	1163344000	1689002000	1907287000	1881573000	1965133000	2363407000	2678204000	3136435000	3.555e+09	4.118e+09	4.876e+09	5.336e+09	5.169e+09	5.59e+09	6.363e+09	7.119e+09	7.856e+09	8411958990	8698548270	9776062798	10960893919	12792307295	11185239938	12727828351	14029264793	15639962329	16699570540	18200223287	20553158257	21989025585	"21920294717"	24282539432	26991804285	27847042215	28290025809	30043500694	30768287437	30959993460
"Total Net income or loss from business2"	"no."	NA	NA	400630	413640	420525	467665	488910	519165	532600	595870	651515	680240	684910	734930	789985	830055	848045	898450	606545	918990	948200	1000470	888575	919505	961800	1005810	1042110	1079120	1120535	1157515	"1140225"	1181695	1216665	1204199	1215174	1241983	1264432	1242854
"Total Net income or loss from business2"	"$"	1443447000	2011661000	1997598000	1968903000	1860350000	2434552000	2621176000	3024919000	3.561e+09	4.254e+09	4.996e+09	5.35e+09	4.825e+09	5.205e+09	6.115e+09	6.972e+09	7.566e+09	8038636011	8122082623	9083463206	10252730350	12062709879	10882980876	12581691516	13356509425	14802258046	15527452063	16701592481	18750555484	20423442947	"20573442872"	23330392951	26373995507	27040396534	27339023404	29192874242	30258866054	30594987232
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Small business entity depreciating assets"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deduction for low-cost assets (less than $1,000)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34760	41325	46570	52965	67690	74965	75780	"79180"	79170	77270	76871	NA	NA	NA	NA
"Deduction for low-cost assets (less than $1,000)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51854210	61143321	69058186	77726846	94660478	105544433	109021695	"107891748"	106977736	104651488	104686212	NA	NA	NA	NA
"Deduction for general pool assets (less than 25 years)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60840	74825	86210	100245	146710	170690	175190	"185470"	182815	181030	177330	NA	NA	NA	NA
"Deduction for general pool assets (less than 25 years)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	333706920	365005316	393020428	464144956	628348345	733119579	862561106	"964893697"	906785005	875237151	915710499	NA	NA	NA	NA
"Deduction for long-life pool assets (25 years or more)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4400	5180	5940	6825	8820	10280	11600	"12970"	12715	12810	12778	NA	NA	NA	NA
"Deduction for long-life pool assets (25 years or more)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11904121	8830915	4983059	6016092	8261229	9586074	11943043	"14538325"	13941087	14338928	15459097	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Small business entity simplified depreciation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deduction for certain assets"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98018	80383	125905	146873
"Deduction for certain assets"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	289842799	171208258	396183412	756596354
"Deduction for general small business pool"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161432	138928	154196	109109
"Deduction for general small business pool"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	994251195	837460025	1151356342	988978588
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Other business and professional items"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trade debtors"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23215	23385	"23360"	23070	22545	21715	20841	19907	19804	18789
"Trade debtors"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	739525235	737716585	"734988091"	720286102	719862076	700597386	671180592	627760442	3115552365	3147274362
"Trade creditors"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26015	25535	"24540"	23655	22895	21803	20563	19381	18721	17121
"Trade creditors"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	982204862	1056263530	"1012398052"	921774122	924475790	880290386	964069046	743523302	739984818	687585921
"Salary and wage expenses - all other expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73291	72955	69703
"Salary and wage expenses - all other expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4157986821	4159142373	4016764834
"Salary and wage expenses - included in both cost of sales and all other expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1275	1239	1076
"Salary and wage expenses - included in both cost of sales and all other expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61459120	54309360	51605565
"Salary and wage expenses - cost of sales"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1667	1655	1698
"Salary and wage expenses - cost of sales"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62067645	68397832	58155602
"Salary and wage expenses - cost of sales and/or all other expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4340	4000	3426
"Salary and wage expenses - cost of sales and/or all other expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208650308	212110522	173702850
"Salary and wage expenses - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	202	166	104
"Salary and wage expenses - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10396937	10453670	6861832
"Total salary and wage expenses"	"no."	96420	133045	132500	131070	129325	133925	130035	135450	129665	130950	NA	71430	103670	94145	99440	103810	102825	110755	107670	104420	100995	99370	84360	82355	81055	81205	80555	81830	81785	81295	"78195"	77615	78375	78330	79550	80775	80015	76007
"Total salary and wage expenses"	"$"	642293000	1002053000	1086952000	1132165000	1152805000	1290828000	1377278000	1573168000	1.614e+09	1.79e+09	NA	1.417e+09	1.966e+09	1.899e+09	2.048e+09	2.212e+09	2.299e+09	2557614574	2545241514	2608812000	2633834912	2845436815	3006357622	2913659834	3105428964	3248363873	3249287071	3415005889	3650105131	3891003411	"3889612354"	3952762305	4072425919	4186921808	4330599492	4500560831	4504413758	4307090683
"Payments to associated persons"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34965	36790	35490	36975	35805	35245	36525	35260	34545	30670	29205	21600	20925	20090	19455	19105	20000	19620	19765	"19520"	20490	21160	21655	22828	23948	24016	22665
"Payments to associated persons"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.53e+08	4.16e+08	4.1e+08	4.47e+08	4.55e+08	4.66e+08	499315856	490909920	497635862	649248556	709629837	643020232	572555496	459888489	425403652	436380756	462962003	496404743	509425885	"531025133"	563104463	570549026	607928748	630142643	664301283	665129138	660250615
"Intangible depreciating assets first deducted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015	1505	1270	1250	1235	1295	1455	"1305"	1350	1165	1093	2000	2169	2102	1393
"Intangible depreciating assets first deducted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26296851	15886596	16686390	15059636	20025510	16399722	25117562	"19406522"	15726453	15403966	13652160	24767129	26267776	26459382	20284936
"Other depreciating assets first deducted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117990	122155	127285	125045	103710	91915	113000	"111245"	115155	104640	97944	70762	81999	74653	61573
